strain,time,protein_desc,area_mean,area_sd,peps_per_rep,org,org_area,ecoli_area,area_norm,b_rep
11-42,1m,YP_003043851.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043854.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043855.1,6083239.6875,3032528.8455064166,1.0,ecoli,390421754431.3482,390421754431.3482,1.5581200633556595e-5,1.0
11-42,1m,YP_003043856.1,149036641.16666666,56134428.40926471,1.0,ecoli,390421754431.3482,390421754431.3482,3.817324200690084e-4,1.0
11-42,1m,YP_003043859.1,145542880.66666666,38912509.09664686,1.0,ecoli,390421754431.3482,390421754431.3482,0.00037278373711180823,1.0
11-42,1m,YP_003043860.1,252536408.43055555,141934422.08484203,3.0,ecoli,390421754431.3482,390421754431.3482,6.468297567034307e-4,1.0
11-42,1m,YP_003043861.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043863.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043864.1,89370268.14583333,49866082.78656493,2.0,ecoli,390421754431.3482,390421754431.3482,2.2890698874093658e-4,1.0
11-42,1m,YP_003043867.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043888.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043898.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043901.1,129665206.75,74354679.2208742,1.0,ecoli,390421754431.3482,390421754431.3482,3.321157319700543e-4,1.0
11-42,1m,YP_003043902.1,149514704.875,83598843.4684283,1.0,ecoli,390421754431.3482,390421754431.3482,3.8295690026998914e-4,1.0
11-42,1m,YP_003043903.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043904.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043905.1,147358397.875,65209077.5269004,2.0,ecoli,390421754431.3482,390421754431.3482,3.77433880675088e-4,1.0
11-42,1m,YP_003043906.1,27987713.0625,44445675.53746367,1.0,ecoli,390421754431.3482,390421754431.3482,7.168584420523462e-5,1.0
11-42,1m,YP_003043910.1,59094350.166666664,31448185.736048497,1.0,ecoli,390421754431.3482,390421754431.3482,1.5136029049594833e-4,1.0
11-42,1m,YP_003043915.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043918.1,30323123.583333332,6254378.090175365,1.0,ecoli,390421754431.3482,390421754431.3482,7.76676075017878e-5,1.0
11-42,1m,YP_003043919.1,82061130.52083333,37970009.461262755,2.0,ecoli,390421754431.3482,390421754431.3482,2.1018585565334567e-4,1.0
11-42,1m,YP_003043920.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043921.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043925.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043926.1,735825530.2604166,222299122.71710733,1.0,ecoli,390421754431.3482,390421754431.3482,0.001884693980057928,1.0
11-42,1m,YP_003043930.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043937.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043938.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043943.1,19744439.395833332,4589020.522074467,1.0,ecoli,390421754431.3482,390421754431.3482,5.0572077943226386e-5,1.0
11-42,1m,YP_003043962.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043982.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043985.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043990.1,21317380.875,15137952.322584849,2.0,ecoli,390421754431.3482,390421754431.3482,5.460090436315185e-5,1.0
11-42,1m,YP_003043996.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043997.1,83519759.25,15259847.36734714,1.0,ecoli,390421754431.3482,390421754431.3482,2.139218890905479e-4,1.0
11-42,1m,YP_003043999.1,1757866957.9375,761181047.6133966,2.0,ecoli,390421754431.3482,390421754431.3482,0.004502482092725198,1.0
11-42,1m,YP_003044004.1,108210723.125,26094383.274897892,1.0,ecoli,390421754431.3482,390421754431.3482,2.7716366185232075e-4,1.0
11-42,1m,YP_003044004.1; YP_003045095.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044005.1,25831209.34375,16912573.814626344,2.0,ecoli,390421754431.3482,390421754431.3482,6.616232074816969e-5,1.0
11-42,1m,YP_003044015.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
