target_id	length	eff_length	est_counts	tpm
U00096.3|b0138|AAC73249.2|CDS|yadM	570	391	6	0.678886
U00096.3|b0139|AAC73250.1|CDS|htrE	2598	2419	12	0.219466
U00096.3|b0140|AAC73251.1|CDS|yadV	741	562	1	0.0787201
U00096.3|b0141|AAC73252.1|CDS|yadN	585	406	0	0
U00096.3|b0142|AAC73253.1|CDS|folK	480	301	30	4.40937
U00096.3|b0143|AAC73254.2|CDS|pcnB	1398	1219	807	29.2882
U00096.3|b0144|AAC73255.3|CDS|gluQ	927	748	78	4.61334
U00096.3|b0145|AAC73256.1|CDS|dksA	456	277	690	110.202
U00096.3|b0146|AAC73257.1|CDS|sfsA	705	526	106	8.91543
U00096.3|b0147|AAC73258.2|CDS|ligT	531	352	27	3.39346
U00096.3|b0148|AAC73259.2|CDS|hrpB	2430	2251	180	3.53768
U00096.3|b0149|AAC73260.1|CDS|mrcB	2535	2356	334	6.27182
U00096.3|b0150|AAC73261.1|CDS|fhuA	2244	2065	262	5.61311
U00096.3|b0151|AAC73262.1|CDS|fhuC	798	619	36	2.57297
U00096.3|b0152|AAC73263.1|CDS|fhuD	891	712	27	1.67767
U00096.3|b0153|AAC73264.1|CDS|fhuB	1983	1804	63	1.54499
U00096.3|b0154|AAC73265.1|CDS|hemL	1281	1102	523	20.9963
U00096.3|b0155|AAC73266.1|CDS|clcA	1422	1243	59	2.09992
U00096.3|b0156|AAC73267.1|CDS|erpA	345	166	163	43.4412
U00096.3|b0157|AAC73268.1|CDS|yadS	624	445	45	4.47378
U00096.3|b0158|AAC73269.1|CDS|btuF	801	622	83	5.9035
U00096.3|b0159|AAC73270.1|CDS|mtn	699	520	334	28.4162
U00096.3|b0160|AAC73271.1|CDS|dgt	1518	1339	32	1.05728
U00096.3|b0161|AAC73272.1|CDS|degP	1425	1246	414	14.6996
U00096.3|b0162|AAC73273.2|CDS|cdaR	1158	979	26	1.17493
U00096.3|b0163|AAC73274.1|CDS|yaeH	387	208	27	5.74278
U00096.3|b0164|AAC73275.2|CDS|yaeI	813	634	10	0.697803
